ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name,park_type,User Category
353,331,Kinross-Kerr Park Playground,264 Rhatigan Road East NW,Playground,Sand,Unknown,,Parks,1994/12/31,53.476011,-113.596635,"(53.47601091256686, -113.5966350253878)",POINT (-113.5966350253878 53.47601091256686),5350,RHATIGAN RIDGE,play,Junior/Senior (18 months to 12 years)
259,3685,Poplar Park,16410 82 Street NW,Playground,Sand,Unknown,,Parks,2015/12/31,53.626273,-113.473333,"(53.62627312451377, -113.47333288495625)",POINT (-113.47333288495625 53.62627312451377),2050,BELLE RIVE,play,Unknown
530,160,George Luck School,300 Bulyea Road NW,Playground,Sand,Unknown,,Parks,2001/12/31,53.472906,-113.572799,"(53.47290571782657, -113.57279941578705)",POINT (-113.57279941578705 53.47290571782657),5100,BULYEA HEIGHTS,play,Junior/Senior (18 months to 12 years)
858,3654,Rosenthal Playground,1070 Rosenthal Blvd NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2015/12/31,53.517192,-113.699276,"(53.51719154640897, -113.699276094624)",POINT (-113.699276094624 53.51719154640897),4750,ROSENTHAL,play,Junior/Senior (18 months to 12 years)
654,162,Greenfield Community League,3755 - 114 STREET NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2009/12/31,53.473511,-113.526035,"(53.47351052023272, -113.52603490756513)",POINT (-113.52603490756513 53.47351052023272),5220,GREENFIELD,play,Junior/Senior (18 months to 12 years)
720,398,Floden Park,4209 Ada Boulevard NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2005/12/31,53.563822,-113.407763,"(53.56382214376614, -113.40776266777175)",POINT (-113.40776266777175 53.56382214376614),2100,BEVERLY HEIGHTS,play,Junior (18 months to 5 years)
689,316,Ermineskin Park,25A Avenue - 107 Street NW,Playground,"Engineered Wood Fibre, Pour In Place Rubber",Unknown,,Parks,1989/12/31,53.456929,-113.506146,"(53.45692942125545, -113.50614587909517)",POINT (-113.50614587909517 53.45692942125545),5180,ERMINESKIN,play,Junior/Senior (18 months to 12 years)
916,3659,Windermere Tot,4720 Woolsey Common,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2015/12/31,53.44751,-113.611288,"(53.44751037673136, -113.6112882272042)",POINT (-113.6112882272042 53.44751037673136),5570,WINDERMERE,play,Junior/Senior (18 months to 12 years)
688,402,Alex Taylor School,9321 Jasper Avenue NW,Playground,Sand,Unknown,,Parks,1995/12/31,53.546736,-113.476471,"(53.546735673367365, -113.47647100042238)",POINT (-113.47647100042238 53.546735673367365),1020,BOYLE STREET,play,Junior/Senior (18 months to 12 years)
398,745,Silver Heights Park,8777 96 Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2006/12/31,53.532827,-113.46447,"(53.532827436210226, -113.46446968680135)",POINT (-113.46446968680135 53.532827436210226),6710,STRATHEARN,play,Junior (18 months to 5 years)
379,3605,Hodgson,503 Hodgson Road  NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2012/12/31,53.458528,-113.558743,"(53.458528493698395, -113.55874337893984)",POINT (-113.55874337893984 53.458528493698395),5620,HODGSON,play,Junior/Senior (18 months to 12 years)
674,167,Empire Park Community League,4804 107 Street NW,Playground,Sand,Unknown,,Parks,2002/12/31,53.486142,-113.509134,"(53.48614162764069, -113.5091339781227)",POINT (-113.5091339781227 53.48614162764069),5170,EMPIRE PARK,play,Junior/Senior (18 months to 12 years)
524,403,Central McDougall,10630 109 Avenue NW,Playground,Sand,Unknown,,Parks,2001/12/31,53.555162,-113.503716,"(53.555161790815504, -113.50371629379799)",POINT (-113.50371629379799 53.555161790815504),1030,CENTRAL MCDOUGALL,play,Junior (18 months to 5 years)
260,330,James Ramsay Park,15010 - 43 AVENUE NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2006/12/31,53.48112,-113.581429,"(53.481119879385275, -113.5814286292491)",POINT (-113.5814286292491 53.481119879385275),5340,RAMSAY HEIGHTS,play,Junior/Senior (18 months to 12 years)
670,23,Airway Park,11119 113 Street NW,Playground,Sand,Unknown,,Parks,1950/12/31,53.560806,-113.514519,"(53.56080576353909, -113.51451918229682)",POINT (-113.51451918229682 53.56080576353909),1170,PRINCE RUPERT,play,Junior/Senior (18 months to 12 years)
219,1678,Mayliewan Park,7503 161A Avenue NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2005/12/31,53.622112,-113.459289,"(53.622112273035384, -113.45928899806019)",POINT (-113.45928899806019 53.622112273035384),2511,MAYLIEWAN,play,Senior (6 to 12 years)
576,1662,Crestwood Arena Playground,9940 148 Street NW,Playground,Sand,Unknown,,Parks,1970/12/31,53.538863,-113.574912,"(53.538862851639465, -113.57491208101408)",POINT (-113.57491208101408 53.538862851639465),3140,CRESTWOOD,play,Junior/Senior (18 months to 12 years)
