ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,User Category,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
558,3637,Charlesworth,5805 - 3 Ave SW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior (18 months to 5 years),Parks,2014/12/31,53.429506,-113.431498,"(53.429505880370286, -113.43149788204866)",POINT (-113.43149788204866 53.429505880370286),6661,CHARLESWORTH
2127,3776,Charlesworth Stage 25,231 Charlesworth Drive SW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Senior (6 to 12 years),Parks,2021/08/09,53.428883,-113.398999,"(53.428883053118724, -113.39899864498165)",POINT (-113.39899864498165 53.428883053118724),6661,CHARLESWORTH
185,3663,Paisley Park,3051 Paisley Green SW,Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2015/12/31,53.414673,-113.559571,"(53.41467318477855, -113.55957141003316)",POINT (-113.55957141003316 53.41467318477855),5469,PAISLEY
133,611,Pleasantview School,10541 - 60A AVENUE NW T6H1K4,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2012/08/16,53.494923,-113.503989,"(53.494922534359084, -113.50398909441093)",POINT (-113.50398909441093 53.494922534359084),5320,PLEASANTVIEW
332,37,Montrose School,11931 62 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1996/12/31,53.572403,-113.435540,"(53.572402752626864, -113.43553985438945)",POINT (-113.43553985438945 53.572402752626864),2550,MONTROSE
301,1944,Sir Wilfrid Laurier Natural Playground,13221 Buena Vista Road,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2020/01/01,53.510204,-113.549260,"(53.51020444821102, -113.54925990093108)",POINT (-113.54925990093108 53.51020444821102),3382,RIVER VALLEY LAURIER
199,268,Parkview Community Playground,9135 146 Street NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2007/12/31,53.525352,-113.569527,"(53.52535203638188, -113.56952687337578)",POINT (-113.56952687337578 53.52535203638188),3330,PARKVIEW
608,308,Ellingson Park,11104 65 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2012/12/31,53.502908,-113.517957,"(53.50290786167275, -113.51795723739056)",POINT (-113.51795723739056 53.50290786167275),5310,PARKALLEN
273,585,Queen Elizabeth Park,10380 Queen Elizabeth Park Road,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1978/12/31,53.525250,-113.494748,"(53.52525005606775, -113.49474792456652)",POINT (-113.49474792456652 53.52525005606775),5390,RIVER VALLEY WALTERDALE
282,3610,Michael Strembitsky,4110 - SAVARYN DRIVE SW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior (18 months to 5 years),Parks,2013/12/31,53.413589,-113.462443,"(53.41358891569145, -113.46244302002853)",POINT (-113.46244302002853 53.41358891569145),6213,SUMMERSIDE
741,87,Castle Downs Park Playground,11520 153 Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2010/12/31,53.616627,-113.525583,"(53.61662692346793, -113.5255828630538)",POINT (-113.5255828630538 53.61662692346793),3180,DUNLUCE
615,41,Delwood School/Park,7315 Delwood Road NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1988/12/31,53.596452,-113.457527,"(53.596451649950836, -113.45752665946071)",POINT (-113.45752665946071 53.596451649950836),2230,DELWOOD
186,54,Homesteader School,4455 - 128 AVENUE NW T5A3M9,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior (18 months to 5 years),Parks,2004/12/31,53.587155,-113.412420,"(53.58715484587978, -113.4124195094491)",POINT (-113.4124195094491 53.58715484587978),2350,HOMESTEADER
